"DAY","INTERVAL_15MIN","PLANNED_LANES_SECURITY","TRANSFERFILTER_GH"
"2017-06-18","8:15","4","82"
"2017-06-18","8:30","4","70"
"2017-06-18","8:45","4","15"
"2017-06-18","9:0","4","0"
"2017-06-18","9:15","4","19"
"2017-06-18","9:30","3","0"
"2017-06-18","9:45","3","7"
"2017-06-19","0:0","0","0"
"2017-06-19","0:15","0","0"
"2017-06-19","0:30","0","0"
"2017-06-19","0:45","0","0"
"2017-06-19","10:0","2","0"
"2017-06-19","10:15","2","0"
"2017-06-19","10:30","1","0"
"2017-06-19","10:45","1","0"
"2017-06-19","11:0","1","0"
"2017-06-19","11:15","1","0"
"2017-06-19","11:30","1","0"
"2017-06-19","11:45","1","0"
"2017-06-19","12:0","1","48"
"2017-06-19","12:15","1","1"
"2017-06-19","12:30","1","0"
"2017-06-19","12:45","1","0"
"2017-06-19","13:0","1","0"
"2017-06-19","13:15","1","6"
"2017-06-19","13:30","1","1"
"2017-06-19","13:45","1","0"
"2017-06-19","14:0","1","0"
"2017-06-19","14:15","1","6"
"2017-06-19","14:30","1","0"
"2017-06-19","14:45","1","51"
"2017-06-19","15:0","1","0"
"2017-06-19","15:15","1","0"
"2017-06-19","15:30","1","0"
"2017-06-19","15:45","1","0"
"2017-06-19","16:0","1","0"
"2017-06-19","16:15","1","0"
"2017-06-19","16:30","1","0"
"2017-06-19","16:45","1","7"
"2017-06-19","17:0","1","2"
"2017-06-19","17:15","1","9"
"2017-06-19","17:30","1","7"
"2017-06-19","17:45","1","4"
"2017-06-19","18:0","1","0"
"2017-06-19","18:15","1","0"
"2017-06-19","18:30","1","0"
"2017-06-19","18:45","1","0"
"2017-06-19","19:0","1","0"
"2017-06-19","19:15","1","0"
"2017-06-19","19:30","1","0"
"2017-06-19","19:45","1","0"
"2017-06-19","1:0","0","0"
"2017-06-19","1:15","0","0"
"2017-06-19","1:30","0","0"
"2017-06-19","1:45","0","0"
"2017-06-19","20:0","1","2"
"2017-06-19","20:15","1","0"
"2017-06-19","20:30","1","0"
"2017-06-19","20:45","1","0"
"2017-06-19","21:0","1","0"
"2017-06-19","21:15","1","0"
"2017-06-19","21:30","1","0"
"2017-06-19","21:45","1","0"
"2017-06-19","22:0","1","0"
"2017-06-19","22:15","1","14"
"2017-06-19","22:30","1","13"
"2017-06-19","22:45","1","0"
"2017-06-19","23:0","1","0"
"2017-06-19","23:15","1","0"
"2017-06-19","23:30","0","0"
"2017-06-19","23:45","0","0"
"2017-06-19","2:0","0","0"
"2017-06-19","2:15","0","0"
"2017-06-19","2:30","0","0"
"2017-06-19","2:45","0","0"
"2017-06-19","3:0","0","0"
"2017-06-19","3:15","0","0"
"2017-06-19","3:30","0","0"
"2017-06-19","3:45","0","0"
"2017-06-19","4:0","0","0"
"2017-06-19","4:15","0","0"
"2017-06-19","4:30","1","0"
"2017-06-19","4:45","1","0"
"2017-06-19","5:0","1","0"
"2017-06-19","5:15","1","0"
"2017-06-19","5:30","2","0"
"2017-06-19","5:45","2","0"
"2017-06-19","6:0","2","0"
"2017-06-19","6:15","2","0"
"2017-06-19","6:30","3","0"
"2017-06-19","6:45","3","42"
"2017-06-19","7:0","3","10"
"2017-06-19","7:15","3","23"
"2017-06-19","7:30","4","5"
"2017-06-19","7:45","4","0"
"2017-06-19","8:0","4","93"
"2017-06-19","8:15","4","124"
"2017-06-19","8:30","4","59"
"2017-06-19","8:45","4","0"
"2017-06-19","9:0","4","0"
"2017-06-19","9:15","4","18"
"2017-06-19","9:30","3","0"
"2017-06-19","9:45","3","12"
"2017-06-20","0:0","0","0"
"2017-06-20","0:15","0","0"
"2017-06-20","0:30","0","0"
"2017-06-20","0:45","0","0"
"2017-06-20","10:0","1","0"
"2017-06-20","10:15","1","0"
"2017-06-20","10:30","1","0"
"2017-06-20","10:45","1","0"
"2017-06-20","11:0","1","0"
"2017-06-20","11:15","1","0"
"2017-06-20","11:30","1","5"
"2017-06-20","11:45","1","1"
"2017-06-20","12:0","1","40"
"2017-06-20","12:15","1","0"
"2017-06-20","12:30","1","0"
"2017-06-20","12:45","1","0"
"2017-06-20","13:0","1","76"
"2017-06-20","13:15","1","5"
"2017-06-20","13:30","1","4"
"2017-06-20","13:45","1","2"
"2017-06-20","14:0","1","0"
"2017-06-20","14:15","1","5"
"2017-06-20","14:30","1","0"
"2017-06-20","14:45","1","0"
"2017-06-20","15:0","1","0"
"2017-06-20","15:15","1","1"
"2017-06-20","15:30","1","0"
"2017-06-20","15:45","1","0"
"2017-06-20","16:0","1","0"
"2017-06-20","16:15","1","0"
"2017-06-20","16:30","1","0"
"2017-06-20","16:45","1","2"
"2017-06-20","17:0","1","0"
"2017-06-20","17:15","1","7"
"2017-06-20","17:30","1","9"
"2017-06-20","17:45","1","4"
"2017-06-20","18:0","1","0"
"2017-06-20","18:15","1","0"
"2017-06-20","18:30","1","0"
"2017-06-20","18:45","1","0"
"2017-06-20","19:0","1","0"
"2017-06-20","19:15","1","0"
"2017-06-20","19:30","1","2"
"2017-06-20","19:45","1","5"
"2017-06-20","1:0","0","0"
"2017-06-20","1:15","0","0"
"2017-06-20","1:30","0","0"
"2017-06-20","1:45","0","0"
"2017-06-20","20:0","1","4"
"2017-06-20","20:15","1","0"
"2017-06-20","20:30","1","0"
"2017-06-20","20:45","1","0"
"2017-06-20","21:0","1","0"
"2017-06-20","21:15","1","0"
"2017-06-20","21:30","1","0"
"2017-06-20","21:45","1","0"
"2017-06-20","22:0","1","0"
"2017-06-20","22:15","1","7"
"2017-06-20","22:30","1","13"
"2017-06-20","22:45","1","0"
"2017-06-20","23:0","1","0"
"2017-06-20","23:15","1","0"
"2017-06-20","23:30","0","0"
"2017-06-20","23:45","0","0"
"2017-06-20","2:0","0","0"
"2017-06-20","2:15","0","0"
"2017-06-20","2:30","0","0"
"2017-06-20","2:45","0","0"
"2017-06-20","3:0","0","0"
"2017-06-20","3:15","0","0"
"2017-06-20","3:30","0","0"
"2017-06-20","3:45","0","0"
"2017-06-20","4:0","0","0"
"2017-06-20","4:15","0","0"
"2017-06-20","4:30","1","0"
"2017-06-20","4:45","1","0"
"2017-06-20","5:0","1","0"
"2017-06-20","5:15","1","0"
"2017-06-20","5:30","2","0"
"2017-06-20","5:45","2","0"
"2017-06-20","6:0","2","0"
"2017-06-20","6:15","2","0"
"2017-06-20","6:30","3","0"
"2017-06-20","6:45","3","39"
"2017-06-20","7:0","3","4"
"2017-06-20","7:15","3","15"
"2017-06-20","7:30","4","5"
"2017-06-20","7:45","4","0"
"2017-06-20","8:0","4","62"
"2017-06-20","8:15","4","128"
"2017-06-20","8:30","4","74"
"2017-06-20","8:45","4","0"
"2017-06-20","9:0","3","0"
"2017-06-20","9:15","3","17"
"2017-06-20","9:30","3","0"
"2017-06-20","9:45","3","11"
"2017-06-21","0:0","0","0"
"2017-06-21","0:15","0","0"
"2017-06-21","0:30","0","0"
"2017-06-21","0:45","0","0"
"2017-06-21","10:0","2","0"
"2017-06-21","10:15","2","0"
"2017-06-21","10:30","1","0"
"2017-06-21","10:45","1","0"
"2017-06-21","11:0","1","0"
"2017-06-21","11:15","1","0"
